Date,Pageviews,Clicks,Enrollments,Payments
"Sat, Oct 11",7716,686,105,34
"Sun, Oct 12",9288,785,116,91
"Mon, Oct 13",10480,884,145,79
"Tue, Oct 14",9867,827,138,92
"Wed, Oct 15",9793,832,140,94
"Thu, Oct 16",9500,788,129,61
"Fri, Oct 17",9088,780,127,44
"Sat, Oct 18",7664,652,94,62
"Sun, Oct 19",8434,697,120,77
"Mon, Oct 20",10496,860,153,98
"Tue, Oct 21",10551,864,143,71
"Wed, Oct 22",9737,801,128,70
"Thu, Oct 23",8176,642,122,68
"Fri, Oct 24",9402,697,194,94
"Sat, Oct 25",8669,669,127,81
"Sun, Oct 26",8881,693,153,101
"Mon, Oct 27",9655,771,213,119
"Tue, Oct 28",9396,736,162,120
"Wed, Oct 29",9262,727,201,96
"Thu, Oct 30",9308,728,207,67
"Fri, Oct 31",8715,722,182,123
"Sat, Nov 1",8448,695,142,100
"Sun, Nov 2",8836,724,182,103
"Mon, Nov 3",9359,789,,
"Tue, Nov 4",9427,743,,
"Wed, Nov 5",9633,808,,
"Thu, Nov 6",9842,831,,
"Fri, Nov 7",9272,767,,
"Sat, Nov 8",8969,760,,
"Sun, Nov 9",9697,850,,
"Mon, Nov 10",10445,851,,
"Tue, Nov 11",9931,831,,
"Wed, Nov 12",10042,802,,
"Thu, Nov 13",9721,829,,
"Fri, Nov 14",9304,770,,
"Sat, Nov 15",8668,724,,
"Sun, Nov 16",8988,710,,
